DATE,MONTH,DUSSELDORF_cloud_cover,DUSSELDORF_wind_speed,DUSSELDORF_wind_gust,DUSSELDORF_humidity,DUSSELDORF_pressure,DUSSELDORF_global_radiation,DUSSELDORF_precipitation,DUSSELDORF_sunshine,DUSSELDORF_temp_mean,DUSSELDORF_temp_min,DUSSELDORF_temp_max
20000101,1,8,2.5,5.9,0.92,1.024,0.12,0.22,0.0,4.2,2.5,6.9
20000102,1,6,3.0,7.4,0.87,1.0283,0.19,0.0,0.7,6.5,2.7,7.9
20000103,1,7,5.5,14.3,0.78,1.0235,0.12,0.28,0.0,7.7,6.9,9.1
20000104,1,7,6.0,16.8,0.87,1.0162,0.12,0.97,0.0,7.8,6.6,9.2
20000105,1,4,4.5,11.2,0.8,1.0203,0.51,0.0,6.5,5.2,0.4,8.6
20000106,1,6,5.5,12.3,0.83,1.0174,0.34,0.18,2.8,7.6,4.3,10.4
20000107,1,6,4.5,9.4,0.79,1.0219,0.32,0.0,2.5,6.6,4.7,8.7
20000108,1,8,4.7,9.5,0.85,1.0192,0.12,0.12,0.0,6.6,5.4,7.9
20000109,1,6,1.2,5.2,0.94,1.0251,0.12,0.0,0.0,2.5,0.5,6.8
20000110,1,8,1.3,4.3,0.96,1.0359,0.13,0.0,0.0,1.1,0.4,2.4
20000111,1,3,4.4,9.3,0.86,1.0376,0.49,0.0,5.4,0.7,-0.5,2.9
20000112,1,4,5.5,10.7,0.79,1.0304,0.52,0.0,6.0,2.1,-0.9,4.6
20000113,1,6,4.3,9.1,0.73,1.0195,0.13,0.02,0.0,1.3,-0.7,3.5
20000114,1,8,2.2,5.4,0.85,1.0214,0.13,0.0,0.0,3.3,-1.0,4.8
20000115,1,7,2.5,10.1,0.77,1.0334,0.21,0.0,0.6,2.5,1.1,4.2
20000116,1,8,2.6,8.4,0.93,1.0353,0.14,0.23,0.0,4.2,0.7,5.7
20000117,1,8,5.0,10.3,0.9,1.0294,0.14,0.13,0.0,6.2,5.1,7.0
20000118,1,6,7.0,16.2,0.78,1.0245,0.18,0.1,0.2,5.9,4.9,8.1
20000119,1,7,4.3,8.8,0.79,1.0302,0.14,0.02,0.0,4.1,3.7,5.1
20000120,1,7,4.6,12.1,0.87,1.0298,0.17,0.08,0.1,4.0,1.6,5.0
20000121,1,7,5.6,13.7,0.79,1.0248,0.23,0.08,0.6,4.6,3.5,7.2
20000122,1,7,5.3,12.5,0.86,1.0118,0.19,0.52,0.2,4.1,2.6,5.4
20000123,1,6,4.0,9.7,0.83,1.0167,0.15,0.08,0.0,-0.8,-3.4,4.0
20000124,1,3,2.0,6.2,0.66,1.0254,0.71,0.0,8.1,-2.6,-7.3,1.0
20000125,1,5,2.6,5.2,0.66,1.0292,0.6,0.0,5.7,-1.1,-3.9,2.1
20000126,1,7,3.5,6.4,0.72,1.0323,0.16,0.0,0.0,1.4,-2.5,2.8
